did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
397,tr12.wc,1,2,active,Sparse_ARFF,93.0,8.0,9.0,8.0,5805.0,313.0,0.0,0.0,5804.0,1.0
398,wap.wc,1,2,active,Sparse_ARFF,341.0,20.0,5.0,20.0,8461.0,1560.0,0.0,0.0,8460.0,1.0
399,ohscal.wc,1,2,active,Sparse_ARFF,1621.0,10.0,709.0,10.0,11466.0,11162.0,0.0,0.0,11465.0,1.0
400,tr41.wc,1,2,active,Sparse_ARFF,243.0,10.0,9.0,10.0,7455.0,878.0,0.0,0.0,7454.0,1.0
401,oh10.wc,1,2,active,Sparse_ARFF,165.0,10.0,52.0,10.0,3239.0,1050.0,0.0,0.0,3238.0,1.0
402,yokohoma2,1,2,active,ARFF,,,,0.0,1143.0,12.0,0.0,0.0,1143.0,0.0
403,heyl,1,2,active,ARFF,,,,0.0,1143.0,11.0,0.0,0.0,1143.0,0.0
404,yokohoma1,1,2,active,ARFF,,,,0.0,1143.0,13.0,0.0,0.0,1143.0,0.0
405,mtp,1,2,active,ARFF,,,,0.0,203.0,4450.0,0.0,0.0,203.0,0.0
406,qsbr_y2,1,2,active,ARFF,,,,0.0,10.0,25.0,0.0,0.0,10.0,0.0
407,krystek,1,2,active,ARFF,,,,0.0,1143.0,30.0,0.0,0.0,1143.0,0.0
408,depreux,1,2,active,ARFF,,,,0.0,1143.0,26.0,0.0,0.0,1143.0,0.0
409,pdgfr,1,2,active,ARFF,,,,0.0,321.0,79.0,0.0,0.0,321.0,0.0
410,carbolenes,1,2,active,ARFF,,,,0.0,1143.0,37.0,0.0,0.0,1143.0,0.0
411,garrat2,1,2,active,ARFF,,,,0.0,1143.0,14.0,0.0,0.0,1143.0,0.0
412,Phen,1,2,active,ARFF,,,,0.0,111.0,22.0,0.0,0.0,111.0,0.0
413,siddiqi,1,2,active,ARFF,,,,0.0,1143.0,10.0,0.0,0.0,1143.0,0.0
414,lewis,1,2,active,ARFF,,,,0.0,1143.0,7.0,0.0,0.0,1143.0,0.0
415,thompson,1,2,active,ARFF,,,,0.0,1143.0,8.0,0.0,0.0,1143.0,0.0
416,yprop_4_1,1,2,active,ARFF,,,,0.0,252.0,8885.0,0.0,0.0,252.0,0.0
417,tsutumi,1,2,active,ARFF,,,,0.0,1143.0,13.0,0.0,0.0,1143.0,0.0
418,strupcz,1,2,active,ARFF,,,,0.0,1143.0,34.0,0.0,0.0,1143.0,0.0
419,PHENETYL1,1,2,active,ARFF,,,,0.0,629.0,22.0,0.0,0.0,629.0,0.0
420,cristalli,1,2,active,ARFF,,,,0.0,1143.0,32.0,0.0,0.0,1143.0,0.0
421,selwood,1,2,active,ARFF,,,,0.0,54.0,31.0,0.0,0.0,54.0,0.0
422,topo_2_1,1,2,active,ARFF,,,,0.0,267.0,8885.0,0.0,0.0,267.0,0.0
423,svensson,1,2,active,ARFF,,,,0.0,1143.0,13.0,0.0,0.0,1143.0,0.0
424,pah,1,2,active,ARFF,,,,0.0,113.0,80.0,0.0,0.0,113.0,0.0
425,penning,1,2,active,ARFF,,,,0.0,1143.0,13.0,0.0,0.0,1143.0,0.0
426,qsfsr1,1,2,active,ARFF,,,,0.0,10.0,20.0,0.0,0.0,10.0,0.0
427,qsfrdhla,1,2,active,ARFF,,,,0.0,34.0,16.0,0.0,0.0,34.0,0.0
428,qsprcmpx,1,2,active,ARFF,,,,0.0,40.0,22.0,0.0,0.0,40.0,0.0
429,qsfsr2,1,2,active,ARFF,,,,0.0,10.0,19.0,0.0,0.0,10.0,0.0
430,mtp2,1,2,active,ARFF,,,,0.0,1143.0,274.0,0.0,0.0,1143.0,0.0
431,qsbralks,1,2,active,ARFF,,,,0.0,22.0,13.0,0.0,0.0,22.0,0.0
432,stevenson,1,2,active,ARFF,,,,0.0,1143.0,5.0,0.0,0.0,1143.0,0.0
433,qsartox,1,2,active,ARFF,,,,0.0,24.0,16.0,0.0,0.0,24.0,0.0
434,benzo32,1,2,active,ARFF,,,,0.0,33.0,195.0,0.0,0.0,33.0,0.0
435,uehling,1,2,active,ARFF,,,,0.0,1143.0,9.0,0.0,0.0,1143.0,0.0
436,rosowky,1,2,active,ARFF,,,,0.0,1143.0,10.0,0.0,0.0,1143.0,0.0
437,garrat,1,2,active,ARFF,,,,0.0,1143.0,10.0,0.0,0.0,1143.0,0.0
438,doherty,1,2,active,ARFF,,,,0.0,1143.0,6.0,0.0,0.0,1143.0,0.0
439,chang,1,2,active,ARFF,,,,0.0,1143.0,34.0,0.0,0.0,1143.0,0.0
440,qsabr2,1,2,active,ARFF,,,,0.0,10.0,15.0,0.0,0.0,10.0,0.0
441,qsabr1,1,2,active,ARFF,,,,0.0,10.0,15.0,0.0,0.0,10.0,0.0
442,qsbr_rw1,1,2,active,ARFF,,,,0.0,51.0,14.0,0.0,0.0,51.0,0.0
443,analcatdata_broadway,1,2,active,ARFF,68.0,7.0,1.0,5.0,8.0,95.0,6.0,9.0,3.0,5.0
444,analcatdata_boxing2,1,2,active,ARFF,71.0,12.0,61.0,2.0,4.0,132.0,0.0,0.0,0.0,4.0
446,prnn_crabs,1,2,active,ARFF,100.0,2.0,100.0,2.0,8.0,200.0,0.0,0.0,6.0,2.0
448,analcatdata_boxing1,1,2,active,ARFF,78.0,12.0,42.0,2.0,4.0,120.0,0.0,0.0,0.0,4.0
449,analcatdata_homerun,1,2,active,ARFF,101.0,7.0,1.0,5.0,27.0,163.0,1.0,9.0,12.0,15.0
450,analcatdata_lawsuit,1,2,active,ARFF,245.0,2.0,19.0,2.0,5.0,264.0,0.0,0.0,3.0,2.0
451,irish,1,2,active,ARFF,278.0,10.0,222.0,2.0,6.0,500.0,32.0,32.0,2.0,4.0
452,analcatdata_broadwaymult,1,2,active,ARFF,118.0,95.0,21.0,7.0,8.0,285.0,18.0,27.0,3.0,5.0
453,analcatdata_bondrate,1,2,active,ARFF,33.0,10.0,1.0,5.0,11.0,57.0,1.0,1.0,4.0,7.0
454,analcatdata_halloffame,1,2,active,ARFF,1215.0,7.0,57.0,3.0,17.0,1340.0,20.0,20.0,15.0,2.0
455,cars,1,2,active,ARFF,254.0,5.0,73.0,3.0,8.0,406.0,14.0,14.0,6.0,2.0
456,analcatdata_birthday,1,2,active,ARFF,,31.0,,0.0,4.0,365.0,30.0,30.0,1.0,3.0
457,prnn_cushings,1,2,active,ARFF,12.0,4.0,2.0,4.0,3.0,27.0,0.0,0.0,2.0,1.0
458,analcatdata_authorship,1,2,active,ARFF,317.0,4.0,55.0,4.0,71.0,841.0,0.0,0.0,70.0,1.0
459,analcatdata_asbestos,1,2,active,ARFF,46.0,3.0,37.0,2.0,4.0,83.0,0.0,0.0,1.0,3.0
460,analcatdata_reviewer,1,2,active,ARFF,141.0,3.0,54.0,4.0,8.0,379.0,365.0,1418.0,0.0,8.0
461,analcatdata_creditscore,1,2,active,ARFF,73.0,6.0,27.0,2.0,7.0,100.0,0.0,0.0,3.0,4.0
462,analcatdata_challenger,1,2,active,ARFF,16.0,3.0,2.0,3.0,5.0,23.0,0.0,0.0,1.0,4.0
463,backache,1,2,active,ARFF,155.0,10.0,25.0,2.0,32.0,180.0,0.0,0.0,5.0,27.0
464,prnn_synth,1,2,active,ARFF,125.0,2.0,125.0,2.0,3.0,250.0,0.0,0.0,2.0,1.0
465,analcatdata_cyyoung8092,1,2,active,ARFF,73.0,62.0,24.0,2.0,11.0,97.0,0.0,0.0,7.0,4.0
466,schizo,1,2,active,ARFF,177.0,3.0,163.0,2.0,15.0,340.0,228.0,834.0,12.0,3.0
467,analcatdata_japansolvent,1,2,active,ARFF,27.0,2.0,25.0,2.0,9.0,52.0,0.0,0.0,8.0,1.0
468,confidence,1,2,active,ARFF,12.0,6.0,12.0,6.0,4.0,72.0,0.0,0.0,3.0,1.0
469,analcatdata_dmft,1,2,active,ARFF,155.0,9.0,123.0,6.0,5.0,797.0,0.0,0.0,0.0,5.0
470,profb,1,2,active,ARFF,448.0,28.0,224.0,2.0,10.0,672.0,666.0,1200.0,5.0,5.0
471,analcatdata_draft,1,2,active,ARFF,,12.0,,,5.0,366.0,2.0,2.0,2.0,3.0
472,lupus,1,2,active,ARFF,52.0,2.0,35.0,2.0,4.0,87.0,0.0,0.0,3.0,1.0
473,cjs,1,2,active,ARFF,680.0,57.0,274.0,6.0,35.0,2796.0,2795.0,68100.0,32.0,3.0
474,analcatdata_marketing,1,2,active,ARFF,203.0,5.0,2.0,6.0,33.0,364.0,53.0,101.0,0.0,33.0
475,analcatdata_germangss,1,2,active,ARFF,100.0,5.0,100.0,4.0,6.0,400.0,0.0,0.0,1.0,5.0
476,analcatdata_bankruptcy,1,2,active,ARFF,25.0,2.0,25.0,2.0,6.0,50.0,0.0,0.0,5.0,1.0
477,fl2000,1,2,active,ARFF,41.0,5.0,1.0,5.0,16.0,67.0,0.0,0.0,14.0,2.0
479,analcatdata_cyyoung9302,1,2,active,ARFF,73.0,9.0,19.0,2.0,10.0,92.0,0.0,0.0,6.0,4.0
480,prnn_viruses,1,2,active,ARFF,39.0,10.0,3.0,4.0,19.0,61.0,0.0,0.0,10.0,9.0
481,biomed,1,2,active,ARFF,134.0,7.0,75.0,2.0,9.0,209.0,15.0,15.0,7.0,2.0
482,arsenic-male-bladder,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
483,iq_brain_size,1,2,active,ARFF,,10.0,,0.0,9.0,20.0,0.0,0.0,6.0,3.0
485,analcatdata_vehicle,1,2,active,ARFF,,6.0,,0.0,5.0,48.0,0.0,0.0,1.0,4.0
486,papir_1,1,2,active,ARFF,,,,,,,,,,
487,papir_2,1,2,active,ARFF,,,,0.0,41.0,30.0,0.0,0.0,41.0,0.0
488,colleges_aaup,1,2,active,ARFF,617.0,52.0,1.0,4.0,15.0,1161.0,87.0,256.0,13.0,2.0
490,hip,1,2,active,ARFF,,,,,8.0,54.0,30.0,120.0,8.0,0.0
491,analcatdata_negotiation,1,2,active,ARFF,,2.0,,0.0,6.0,92.0,17.0,26.0,5.0,1.0
492,newton_hema,1,2,active,ARFF,,11.0,,0.0,4.0,140.0,0.0,0.0,3.0,1.0
493,wind_correlations,1,2,active,ARFF,,,,,47.0,45.0,0.0,0.0,47.0,0.0
494,analcatdata_hiroshima,1,2,active,ARFF,,1.0,,0.0,3.0,649.0,0.0,0.0,2.0,1.0
495,baseball-pitcher,1,2,active,ARFF,,,,,,,,,,
497,veteran,1,2,active,ARFF,,4.0,,0.0,8.0,137.0,0.0,0.0,4.0,4.0
498,analcatdata_runshoes,1,2,active,ARFF,,5.0,,0.0,11.0,60.0,14.0,14.0,5.0,6.0
500,analcatdata_vineyard,1,2,active,ARFF,,9.0,,0.0,4.0,468.0,0.0,0.0,3.0,1.0
501,analcatdata_impeach,1,2,active,ARFF,,50.0,,,10.0,100.0,0.0,0.0,2.0,8.0
502,analcatdata_whale,1,2,active,ARFF,,2.0,,,8.0,228.0,5.0,20.0,6.0,2.0
503,wind,1,2,active,ARFF,,,,0.0,15.0,6574.0,0.0,0.0,15.0,0.0
504,analcatdata_supreme,1,2,active,ARFF,,,,0.0,8.0,4052.0,0.0,0.0,8.0,0.0
505,tecator,1,2,active,ARFF,,,,0.0,125.0,240.0,0.0,0.0,125.0,0.0
506,analcatdata_gsssexsurvey,1,2,active,ARFF,,2.0,,0.0,10.0,159.0,6.0,6.0,5.0,5.0
507,space_ga,1,2,active,ARFF,,,,0.0,7.0,3107.0,0.0,0.0,7.0,0.0
508,nflpass,1,2,active,ARFF,,,,0.0,6.0,26.0,0.0,0.0,6.0,0.0
509,places,1,2,active,ARFF,,,,0.0,9.0,329.0,0.0,0.0,9.0,0.0
510,sleep,2,2,active,ARFF,,,,0.0,10.0,62.0,20.0,38.0,10.0,0.0
511,plasma_retinol,1,2,active,ARFF,,3.0,,0.0,14.0,315.0,0.0,0.0,11.0,3.0
512,balloon,1,2,active,ARFF,,,,0.0,2.0,2001.0,0.0,0.0,2.0,0.0
513,arsenic-female-lung,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
515,baseball-team,1,2,active,ARFF,,7.0,,0.0,8.0,26.0,0.0,0.0,5.0,3.0
516,pbcseq,1,2,active,ARFF,,1024.0,,0.0,19.0,1945.0,832.0,1133.0,13.0,6.0
518,analcatdata_gviolence,1,2,active,ARFF,,,,0.0,9.0,74.0,0.0,0.0,9.0,0.0
519,vinnie,1,2,active,ARFF,,,,0.0,3.0,380.0,0.0,0.0,3.0,0.0
520,analcatdata_wildcat,1,2,active,ARFF,,2.0,,0.0,6.0,163.0,0.0,0.0,4.0,2.0
521,analcatdata_ncaa,1,2,active,ARFF,,3.0,,0.0,20.0,120.0,0.0,0.0,4.0,16.0
522,pm10,1,2,active,ARFF,,,,0.0,8.0,500.0,0.0,0.0,8.0,0.0
523,analcatdata_neavote,1,2,active,ARFF,,3.0,,0.0,3.0,100.0,0.0,0.0,2.0,1.0
524,pbc,2,2,active,ARFF,,3.0,,0.0,20.0,418.0,142.0,1033.0,14.0,6.0
525,baseball-hitter,1,2,active,ARFF,,,,,,,,,,
526,analcatdata_seropositive,1,2,active,ARFF,,3.0,,0.0,4.0,132.0,0.0,0.0,3.0,1.0
527,analcatdata_election2000,1,2,active,ARFF,,,,0.0,16.0,67.0,0.0,0.0,15.0,1.0
528,humandevel,1,2,active,ARFF,,,,0.0,2.0,130.0,0.0,0.0,2.0,0.0
529,pollen,1,2,active,ARFF,,,,0.0,5.0,3848.0,0.0,0.0,5.0,0.0
530,analcatdata_olympic2000,1,2,active,ARFF,,,,0.0,12.0,66.0,0.0,0.0,12.0,0.0
531,boston,1,2,active,ARFF,,9.0,,0.0,14.0,506.0,0.0,0.0,12.0,2.0
532,analcatdata_uktrainacc,1,2,active,ARFF,,,,,16.0,31.0,25.0,150.0,16.0,0.0
533,arsenic-female-bladder,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
534,cps_85_wages,1,2,active,ARFF,,6.0,,0.0,11.0,534.0,0.0,0.0,4.0,7.0
